model,mrr,hits@1,hits@5,hits@10,hits@20,time
e5-onlinecontrastive,0.37205445759450845,0.31773879142300193,0.43534762833008445,0.47368421052631576,0.5009746588693957,0.004917424247201345
gte-contrastive,0.37117852097893483,0.31773879142300193,0.42430149447693305,0.4697855750487329,0.5107212475633528,0.0058291331756571965
gte-csmnrl,0.405458684677839,0.3255360623781676,0.4801819363222872,0.5568551007147499,0.645224171539961,0.006000288281059637
gte-mnrl,0.4229297595647407,0.34307992202729043,0.49707602339181284,0.5763482781026641,0.6855100714749838,0.005943791133541035
e5-contrastive,0.3712996955171644,0.3190383365821962,0.4301494476933073,0.47173489278752434,0.51137102014295,0.0051513210839463025
stella-contrastive,0.37605271934366946,0.32423651721897334,0.4327485380116959,0.46588693957115007,0.49382716049382713,0.034766349643759326
e5-csmnrl,0.39772024014459745,0.31513970110461337,0.48148148148148145,0.5594541910331384,0.6491228070175439,0.005012137925493167
e5-mnrl,0.4158616493527849,0.3333333333333333,0.5009746588693957,0.580896686159844,0.6848602988953866,0.0049519241437112616
gte-onlinecontrastive,0.3709105048716422,0.31643924626380765,0.4249512670565302,0.4697855750487329,0.5107212475633528,0.005819739111837743
stella-csmnrl,0.45464160649346147,0.3788174139051332,0.5198180636777128,0.5977907732293697,0.6809616634178037,0.034750023470674726
stella-mnrl,0.438046013411109,0.35932423651721895,0.5055230669265757,0.5906432748538012,0.6861598440545809,0.034688454157660115
stella-onlinecontrastive,0.37674282249636243,0.32423651721897334,0.42884990253411304,0.4665367121507472,0.5016244314489928,0.03458275215590132
TF-IDF Baseline,0.23459947832654043,0.1793372319688109,0.28460038986354774,0.33853151397011044,0.4048083170890188,2.986924690112733e-05
